12 16 33
0 131.364 162.273 222
148 199 159 188
159 203 150 212
134 243 143 234
153 224 165 212
175 217 141 251
144 256 184 216
196 219 154 261
111 319 112 318
170 260 210 220
267 178 263 182
222 223 184 261
128 317 118 327
126 334 138 322
197 263 198 262
200 260 242 218
261 199 269 191
267 208 205 270
149 326 135 340
146 344 165 325
208 282 266 224
272 233 264 241
226 279 197 308
195 310 193 312
187 318 185 320
183 322 181 324
179 326 160 345
179 341 225 295
231 304 202 333
214 336 238 312
248 317 229 336
244 336 258 322
270 310 270 310
276 304 276 304
280 315 256 339
269 341 279 331
