40 91 161
0 110.87 191.646 94
61 181 61 181
66 176 70 172
95 147 102 140
118 139 116 141
113 144 88 169
84 173 69 188
77 195 125 147
129 158 76 211
74 213 71 216
79 223 132 170
134 168 135 167
164 153 163 154
159 158 158 159
147 170 146 171
143 174 84 233
82 250 84 248
91 241 154 178
156 176 157 175
168 179 161 186
153 194 91 256
97 265 155 207
157 205 159 203
165 197 167 195
169 193 172 190
175 187 176 186
179 183 181 181
185 177 185 177
208 154 214 148
220 157 218 159
212 165 203 174
188 189 184 193
164 213 163 214
158 219 157 220
155 222 107 270
118 274 158 234
160 232 161 231
206 186 208 184
211 181 213 179
224 168 233 159
234 165 212 187
162 237 122 277
126 288 168 246
170 244 170 244
219 195 238 176
241 173 244 170
255 174 242 187
226 203 225 204
174 255 140 289
151 293 170 274
176 268 178 266
226 218 229 215
234 210 263 181
269 190 263 196
261 198 237 222
190 269 159 300
172 302 194 280
200 274 202 272
217 257 218 256
220 254 221 253
224 250 226 248
228 246 231 243
245 229 250 224
257 217 268 206
271 203 271 203
269 220 230 259
206 283 178 311
210 294 217 287
219 285 220 284
231 273 281 223
274 245 273 246
268 251 238 281
234 285 221 298
224 310 275 259
275 274 270 279
267 282 227 322
254 310 269 295
283 281 283 281
