42 51 68
0 63.75 97.5 187
167 150 170 147
178 154 177 155
173 159 171 161
154 193 155 192
157 190 160 187
169 178 170 177
172 175 174 173
189 158 189 158
193 154 198 149
201 161 199 163
190 172 186 176
184 178 182 180
178 184 177 185
174 188 173 189
164 198 160 202
156 221 156 221
159 218 160 217
162 215 162 215
165 212 183 194
189 188 202 175
213 164 217 160
220 172 214 178
210 182 209 183
205 187 162 230
163 236 211 188
240 174 239 175
218 196 171 243
175 254 224 205
227 202 228 201
230 199 241 188
233 211 230 214
225 219 179 265
175 269 171 273
191 268 236 223
256 218 251 223
244 230 232 242
223 251 222 252
216 258 203 271
199 275 195 279
207 282 229 260
230 274 221 283
235 284 237 282
