39 76 100
0 61.2 155.55 155
510 505 511 504
514 501 515 500
519 496 520 495
517 513 507 523
507 538 513 532
515 530 517 528
514 546 506 554
404 656 398 662
396 679 412 663
417 658 419 656
428 647 428 647
471 604 471 604
485 590 488 587
498 577 517 558
516 574 501 589
492 598 484 606
479 611 472 618
447 643 439 651
433 657 425 665
421 669 406 684
435 670 440 665
449 656 453 652
456 649 458 647
460 645 461 644
468 637 472 633
476 629 480 625
482 623 497 608
504 601 511 594
511 609 509 611
506 614 504 616
502 618 497 623
491 629 488 632
479 641 471 649
465 655 464 656
461 659 456 664
467 668 471 664
475 660 477 658
502 633 502 633
511 624 511 624
479 671 478 672
