70 123 163
0 62.5767 145.491 92
79 133 79 133
103 109 103 109
155 72 148 79
134 93 128 99
122 105 90 137
87 140 68 159
73 169 176 66
181 61 184 58
211 46 210 47
203 54 202 55
200 57 74 183
79 193 220 52
222 50 224 48
221 66 82 205
83 219 229 73
237 80 88 229
68 264 246 86
261 86 70 277
54 308 56 306
59 303 265 97
284 93 283 94
274 103 68 309
43 349 295 97
315 92 313 94
306 101 36 371
34 388 34 388
36 386 358 64
376 61 24 413
13 439 382 70
403 64 399 68
395 72 14 453
5 477 407 75
418 79 10 487
1 511 431 81
445 82 1 526
1 541 411 131
414 128 415 127
418 124 452 90
455 87 458 84
469 88 468 89
466 91 422 135
414 143 1 556
1 571 18 554
22 550 32 540
36 536 41 531
44 528 45 527
53 519 422 150
430 142 465 107
470 102 471 101
476 111 440 147
432 155 408 179
404 183 56 531
51 536 47 540
15 572 1 586
1 601 16 586
19 583 19 583
42 560 43 559
58 544 411 191
415 187 416 186
420 182 443 159
446 156 453 149
455 147 455 147
458 144 487 115
490 127 486 131
480 137 477 140
451 166 441 176
439 178 428 189
417 200 193 424
183 434 63 554
9 608 1 616
1 631 4 628
68 564 196 436
211 421 227 405
232 400 233 399
243 389 421 211
452 180 455 177
495 137 499 133
508 139 507 140
431 216 429 218
424 223 256 391
237 410 223 424
208 439 202 445
190 457 69 578
11 636 9 638
5 642 4 643
74 588 196 466
218 444 224 438
246 416 247 415
267 395 432 230
434 243 287 390
207 470 75 602
74 611 214 471
296 389 438 247
444 241 447 238
458 242 309 391
220 480 59 641
73 642 225 490
317 398 469 246
489 226 493 222
500 230 327 403
323 407 310 420
240 490 239 491
237 493 227 503
212 518 92 638
96 649 213 532
255 490 260 485
321 424 498 247
505 255 493 267
490 270 325 435
323 437 318 442
273 487 271 489
267 493 266 494
225 535 99 661
116 659 118 657
121 654 237 538
274 501 276 499
283 492 291 484
331 444 498 277
502 273 507 268
505 285 344 446
250 540 138 652
128 662 122 668
142 663 266 539
308 497 311 494
331 474 334 471
344 461 349 456
356 449 513 292
518 302 327 493
318 502 316 504
277 543 143 677
163 672 292 543
294 541 295 540
324 511 330 505
341 494 342 493
344 491 525 310
525 325 331 519
304 546 167 683
181 684 325 540
329 536 529 336
535 345 533 347
527 353 525 355
522 358 196 684
211 684 528 367
530 380 226 684
241 684 532 393
538 402 256 684
271 684 525 430
536 419 539 416
548 422 546 424
536 434 532 438
526 444 286 684
301 684 517 468
519 466 526 459
529 471 525 475
516 484 316 684
331 684 509 506
512 503 513 502
533 482 533 482
506 524 346 684
361 684 506 539
505 555 405 655
397 663 376 684
391 684 395 680
413 662 416 659
420 655 427 648
429 646 470 605
472 603 484 591
489 586 497 578
500 590 493 597
483 607 480 610
471 619 448 642
438 652 434 656
424 666 422 668
454 651 455 650
459 646 459 646
462 643 467 638
473 632 475 630
498 607 503 602
508 612 507 613
470 650 466 654
