40 67 89
0 63.0337 140.393 166
492 268 491 269
499 276 501 274
508 267 514 261
518 272 506 284
514 291 524 281
532 288 519 301
526 309 538 297
544 306 526 324
530 335 548 317
555 325 536 344
532 348 528 352
524 356 523 357
529 366 557 338
559 336 559 336
561 349 531 379
533 392 564 361
571 369 539 401
526 429 535 420
540 415 579 376
578 392 549 421
545 425 537 433
531 439 527 443
518 467 518 467
527 458 527 458
529 456 584 401
588 412 538 462
524 476 517 483
516 499 518 497
521 494 522 493
525 490 525 490
529 486 532 483
534 481 534 481
544 471 592 423
599 431 550 480
538 492 533 497
543 502 543 502
556 489 599 446
599 461 560 500
564 511 599 476
599 491 571 519
576 529 599 506
599 521 580 540
586 549 599 536
599 551 593 557
