155 148 148
11.5161 11.5161 0 100
187 295 193 289
205 292 187 310
120 377 73 424
56 456 207 305
211 316 49 478
45 497 173 369
177 365 217 325
223 334 184 373
180 377 44 513
54 518 187 385
193 379 231 341
239 348 201 386
195 392 66 521
67 521 196 392
201 387 240 348
249 354 210 393
204 399 79 524
89 529 212 406
218 400 258 360
267 366 226 407
220 413 102 531
115 533 228 420
235 413 276 372
284 379 244 419
237 426 127 536
142 536 143 535
146 532 246 432
252 426 293 385
367 326 336 357
302 391 260 433
255 438 156 537
167 541 264 444
269 439 311 397
336 372 376 332
387 336 335 388
321 402 278 445
273 450 181 542
194 544 195 543
198 540 282 456
288 450 322 416
324 414 338 400
350 388 398 340
409 344 361 392
351 402 325 428
322 431 297 456
291 462 213 540
229 539 301 467
308 460 322 446
326 442 360 408
370 398 420 348
431 352 378 405
368 415 328 455
322 461 319 464
311 472 242 541
257 541 320 478
332 466 376 422
386 412 442 356
452 361 394 419
386 427 335 478
326 487 272 541
288 540 330 498
340 488 395 433
401 427 461 367
471 372 345 498
334 509 302 541
318 540 340 518
350 508 480 378
489 384 356 517
344 529 334 539
347 541 351 537
361 527 495 393
501 402 366 537
377 541 508 410
515 418 393 540
417 531 520 428
526 437 428 535
447 531 531 447
535 458 463 530
488 520 539 469
543 480 500 523
525 513 545 493
