55 48 51
18.5455 32.4545 0 200
174 368 176 366
183 374 181 376
188 384 192 380
200 387 196 391
197 391 200 388
209 394 205 398
213 405 217 401
225 408 221 412
229 419 234 414
243 420 238 425
247 431 251 427
335 358 331 362
259 434 256 437
265 443 268 440
328 380 335 373
334 389 322 401
277 446 274 449
283 455 287 451
323 415 323 415
339 399 349 389
360 393 352 401
324 429 323 430
296 457 292 461
302 466 307 461
323 445 325 443
361 407 369 399
377 406 369 414
327 456 323 460
318 465 312 471
321 477 331 467
377 421 385 413
393 420 387 426
334 479 327 486
331 497 339 489
396 432 400 428
344 499 335 508
341 517 349 509
355 518 345 528
352 536 360 528
365 538 361 542
